Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141
05.05.2018 01:00;5,12416;12,2899;11,9809;17,0572;12,6803;8,92801;25,8625;23,3676;17,8908;4,72954;37,3334;16,2812;11,9833;13,3197;12,5762;9,98525;21,7;12,7;5,2;14,7;5,2;10,8;17,0;8,6;6,3;17,2;2,1;3,4;12,913796;5,0;1,8;11,2;4,3;9,6;9,0;16,4;11,8;13,9;4,1;10,04;10,2;12,3839;5,21275;5,41415;10,2685;5,16506;6,65429;7,13973;27,7022;7,89712;9,64408;14,1924;24,3677;10,4714;5,85496;7,64554;9,45803;10,961;5,83064;24,2022;5,296885;4,01;2,02;6,0;4,4;4,56;17,62;8,4237;6,77;16,28;34,198305;8,44;11,30951;8,09027;6,27472;7,07334;4,1;5,1;4,1;2,2;5,81408;5,94875;9,36827;5,40565;9,70159;9,64485;21,6223;13,5035;9,09951;18,8863;10,4983;3,03287;4,11255;45,4656;7,48408;10,8759;;18,9254;10,2749;7,71311;16,5;;6,2;9,0;2,3;3,63;10,4377;10,3312;7,1724;6,3027;7,89231;7,7845;10,2265;10,0396;7,54215;4,34502;8,44795;12,8398;9,08094;12,2193;8,99968;11,4964;11,156;3,05584;8,51159;3,24774;8,07979;2,47662;14,3957;12,4518;3,13151;9,56142;15,2257;19,7065;7,95653;11,0055;56,1704;22,6944;9,66288;12,8211;7,24542
05.05.2018 02:00;4,86338;15,9174;11,91;13,3054;11,0822;9,47308;18,241;20,9349;13,1213;4,44487;24,8002;11,8183;9,77767;18,5517;12,0621;12,1304;26,4;12,8;7,8;16,5;6,2;9,5;15,0;7,4;5,7;12,7;1,4;3,7;10,36;4,9;1,7;8,6;4,0;9,3;8,3;13,8;16,4;7,3;4,5;8,42;8,6;7,15778;4,80199;7,281;11,978;5,11248;9,0496;8,48562;25,548;8,11052;9,96109;16,4066;20,0173;13,9045;5,85417;5,83806;8,85522;8,58812;5,76511;10,0008;5,469586;4,21;2,79;4,3;3,9;4,26;16,72;12,04785;7,27;14,48;34,799995;8,14;12,82943;6,31636;5,72367;6,23153;4,0;4,6;4,2;2,0;5,3836;5,95672;9,42327;4,09274;9,59369;8,56311;26,4322;10,9505;7,186;17,0317;6,91594;2,81951;4,66201;52,5092;7,22802;9,68717;;13,5252;9,053;6,78477;14,1;;6,2;8,0;1,5;1,54;11,3323;10,5922;7,3838;6,84856;8,24308;8,36846;13,2143;8,88018;8,94711;5,17071;7,55831;11,5115;7,10544;7,38406;8,77857;7,90456;10,9898;2,99109;7,65225;2,45692;4,95739;2,37404;12,6712;12,0268;3,65278;10,0691;11,983;31,1153;8,11977;10,5228;38,4051;15,7002;10,1317;13,0473;8,6433
05.05.2018 03:00;4,92181;11,43;11,8549;12,4811;12,2649;7,59391;19,6495;15,6091;11,5885;4,31846;16,8803;10,8841;8,55567;8,26728;12,1465;14,3177;26,0;12,4;10,0;24,0;6,3;10,3;15,0;7,6;5,2;12,5;1,3;4,1;9,4;5,4;1,6;7,5;4,2;8,5;9,4;13,8;14,0;6,8;4,5;9,05;8,8;7,35908;4,99308;5,5278;9,84946;5,4713;5,60216;9,67568;23,4703;6,19215;9,12967;10,6504;18,1161;12,9586;5,71452;5,14124;9,75332;9,24171;5,99547;4,62226;5,903996;4,01;3,3;4,0;5,2;4,26;17,12;31,344;6,37;13,08;22,801685;8,94;17,1992;6,24041;4,85704;5,48213;5,1;4,6;3,8;2,7;5,17504;5,78092;8,20611;6,08972;10,2421;7,37805;20,7748;9,21539;6,44076;15,9727;10,3122;3,0367;5,80935;47,174;7,14205;12,8672;;12,7309;7,96826;4,70332;14,6;;6,2;9,0;1,4;1,55;13,6806;10,7659;6,46963;5,60507;9,74912;6,04428;14,5811;11,5529;15,7241;5,64075;11,7249;10,5628;16,5755;6,56038;7,66809;6,19183;10,4666;2,69691;12,675;4,02157;6,03342;2,37228;14,8458;9,68433;3,67987;9,26671;13,369;16,2542;13,8937;16,7619;34,6593;14,3049;3,76542;24,4678;7,17531
05.05.2018 04:00;4,1517;10,9664;12,8758;14,2869;18,2604;7,6218;22,7857;14,3618;12,3388;4,33262;15,2406;10,7029;8,46712;6,44238;14,5642;15,0751;27,9;19,3;15,5;25,8;9,0;10,8;20,0;9,1;10,7;18,7;1,7;3,1;8,8;7,0;1,5;6,7;4,5;10,1;11,5;21,0;39,2;8,5;4,9;9,15;9,7;8,94072;4,8192;8,89558;10,5601;5,39662;6,61871;7,74896;22,0613;7,53268;9,89141;10,7869;15,1139;12,7509;6,47738;4,9835;11,02;9,62205;6,46276;4,82621;5,263407;3,71;3,1;4,4;7,2;4,76;20,42;30,1686;7,77;12,08;31,803376;16,04;17,95916;8,34468;5,59191;9,72783;5,3;8,5;6,0;2,7;6,58586;6,66203;8,65392;3,36512;11,0349;7,31626;19,4883;11,3954;7,26611;12,6774;9,04194;3,33441;25,6297;39,6676;8,75627;8,58034;;13,9997;6,67235;5,66142;14,7;;5,3;11,0;2,9;0,69;13,1561;11,3637;6,26499;5,2187;9,91213;6,76795;12,7196;9,577;12,4864;6,5008;10,7348;10,7436;14,3777;6,52682;6,84974;6,52576;9,70234;3,2764;7,7505;5,04078;5,48319;2,36065;13,8875;14,7396;4,65999;9,219;17,5112;24,3485;16,7794;19,0036;23,5149;31,0142;3,79506;50,0126;7,97782
05.05.2018 05:00;;;;;;;;;;;;;;;;;35,9;20,6;12,4;19,7;6,6;9,0;33,0;9,9;14,9;21,4;1,4;4,2;7,1;9,2;1,9;8,5;4,1;9,6;16,9;24,5;36,2;9,2;7,3;11,55;9,9;12,5284;5,37915;6,34572;10,2361;6,86882;7,62941;8,3581;35,5037;9,56311;11,1995;11,4837;10,1944;12,8348;8,03347;5,19063;12,539;14,7133;6,41263;11,5044;5,89018;3,31;2,81;5,5;12,3;5,56;21,42;32,7153;;14,58;39,905066;24,34;15,2993;8,17578;5,83677;7,85354;6,0;8,7;4,6;3,4;6,79392;7,68548;10,8644;5,65315;11,5941;8,90338;17,5794;32,1485;11,12;23,2321;11,362;3,75045;52,0459;53,7404;15,4158;10,4551;;18,6523;9,05491;9,27911;17,5;;6,3;11,0;2,5;0,66;13,8582;11,3918;9,72252;7,44565;10,9579;7,9194;14,7941;8,90408;20,5293;6,94587;12,411;10,5518;14,2148;9,84574;6,66916;7,69846;11,1608;4,45884;18,6415;3,60146;7,46052;2,43126;14,7639;20,0584;15,6105;9,24947;13,7755;15,7977;23,2327;19,7796;21,3722;39,4169;16,0359;39,6135;6,68191
05.05.2018 06:00;5,91764;14,3294;21,6932;11,3945;13,0515;9,77116;26,8748;17,4308;14,1183;4,95102;19,1088;28,9535;8,50415;8,54186;21,7532;25,6219;34,4;29,3;10,9;25,5;7,6;7,9;28,0;12,3;12,1;31,0;10,6;7,3;6,4;6,2;1,6;11,5;3,9;9,1;15,6;27,1;32,8;6,7;7,2;15,06;10,5;10,3163;5,08082;7,19124;11,7174;8,17964;7,84292;8,51366;41,8367;11,6403;12,1747;14,1233;10,8125;14,8531;7,82687;6,93905;13,7005;14,3632;6,98051;5,93304;7,203242;3,41;2,59;7,1;8,5;5,56;22,32;28,4055;;16,68;45,306756;20,54;13,77938;8,02866;5,80398;7,78131;4,3;12,3;5,1;2,8;5,11597;6,88669;10,0507;5,25731;12,0373;9,28705;15,0298;31,3555;18,6812;27,9779;16,9712;7,00263;49,669;49,9936;28,2952;10,8618;;20,732;9,44131;12,4414;19,5;;10,2;9,0;2,5;0,38;15,8508;12,061;13,0691;9,18982;11,8645;10,1554;12,0259;9,37146;17,1685;7,80255;12,4168;12,5511;16,8729;10,2191;6,24002;6,80831;17,2207;4,34449;5,37272;5,4338;8,91895;2,60995;15,6957;16,8177;7,54901;10,185;18,8183;11,927;15,6083;21,8798;24,3028;34,9625;5,48514;25,7233;9,25696
05.05.2018 07:00;5,2665;11,9038;12,4752;8,89239;10,2457;9,02858;15,1181;16,4828;11,396;7,19071;25,2586;35,9132;7,17744;12,3829;7,78025;18,6213;22,6;16,5;9,9;8,8;8,3;7,3;26,0;10,6;14,4;20,4;11,3;3,8;5,9;16,8;1,7;7,8;2,9;7,4;14,1;31,5;16,1;4,8;4,5;12,77;6,9;11,4991;5,97829;4,68493;6,36006;7,44405;7,13866;7,94117;41,4814;9,7623;9,94293;14,6146;9,26347;12,5863;7,38933;7,26834;9,97692;13,8669;6,71937;5,48956;7,942138;2,61;1,98;8,4;6,3;5,66;15,62;14,79045;;15,58;49,108446;12,24;14,15936;7,93466;4,90307;7,92099;4,1;11,6;4,9;2,4;4,76532;6,77835;8,11272;3,45942;11,5966;8,98232;33,7993;22,0575;27,3876;23,0033;14,4233;4,56582;12,9472;37,2621;13,137;15,7665;;26,766;13,5885;15,5835;14,3;;12,1;9,0;2,1;0,64;18,8568;13,7499;8,73395;6,99686;9,65294;11,9861;10,9866;10,6252;;8,51212;13,2162;20,7165;20,4143;9,33428;6,31544;7,1291;27,169;4,58019;4,69449;4,79381;9,1845;2,72384;13,1412;10,6761;5,66474;10,6394;22,0566;10,1944;11,9538;23,7833;31,5814;26,93;7,10702;16,6195;4,06057
05.05.2018 08:00;4,53569;8,63162;8,00175;6,37546;9,65826;6,53814;12,7106;15,1693;8,93477;6,62083;10,851;39,1679;5,73812;6,02546;5,99306;13,2288;11,2;8,9;8,0;6,6;5,7;6,7;18,0;8,5;10,3;11,4;1,7;3,6;4,3;28,9;2,2;8,3;2,5;6,7;10,2;29,4;13,3;3,9;3,9;11,49;5,1;9,85158;7,28962;3,90792;7,11488;7,10209;5,75937;7,44671;47,8021;14,1663;9,62851;18,4142;9,27166;12,2798;5,83895;6,19974;7,46902;13,1741;4,846;9,40332;8,13025;2,01;1,87;8,8;5,9;6,06;14,92;12,83145;;15,08;47,610136;11,04;13,3994;6,51128;3,62623;7,7351;4,3;9,6;5,6;2,2;4,42799;6,00877;7,44352;5,77212;10,6793;8,81574;6,73902;6,62735;12,4164;13,5107;15,9175;4,48772;14,2707;34,9856;8,25247;7,23964;;20,3493;19,0196;21,4528;8,9;;12,2;8,0;1,7;0,69;20,8934;14,5769;8,54823;5,4099;8,48822;11,9399;10,4135;9,75724;;10,6201;13,8004;17,8354;21,5036;8,98003;4,83046;6,94959;15,7778;4,55511;6,15505;1,9035;5,92401;2,48402;9,35016;5,15825;5,2822;8,124;13,0741;16,2674;5,03041;14,5047;21,163;17,4056;7,78957;16,5468;4,49347
05.05.2018 09:00;3,83303;4,47142;6,97229;4,11292;8,20726;6,91082;9,87707;13,804;7,96023;4,09221;7,9348;40,2527;4,70086;4,39335;4,73432;8,94555;7,6;8,3;5,0;4,6;3,7;8,1;12,0;6,5;4,2;15,6;1,0;2,8;3,9;11,6;1,6;9,3;2,7;5,9;9,8;26,0;10,9;3,5;3,4;10,85;5,6;12,0817;6,9105;3,24881;5,834;5,95535;5,03493;6,82531;46,6496;12,241;9,27798;15,3348;8,51461;11,8278;4,81526;5,35528;8,24709;13,3694;3,75024;5,53843;6,103002;1,81;1,69;9,2;4,6;5,76;13,22;36,0456;;16,88;32,511826;9,84;13,01942;7,14383;2,56537;6,14389;3,9;7,7;6,3;;4,62251;6,03532;7,94542;7,1769;11,0494;8,67204;13,5048;8,69776;7,96766;17,77;8,78473;5,59128;11,3826;37,4836;6,99308;8,48575;;16,5097;11,6451;;7,4;;9,4;7,0;1,2;0,42;20,207;14,878;10,336;4,50223;7,14238;8,36022;9,47927;12,1567;;9,23443;10,1734;15,1702;18,5124;7,49663;3,91057;6,83328;6,59291;4,22769;4,14682;0,40842;4,60526;2,16044;6,19724;3,88724;5,38034;6,07613;8,87225;8,23036;3,97728;15,1853;20,3458;10,9526;6,60795;15,2209;7,65862
05.05.2018 10:00;4,17666;4,25314;8,98577;3,97707;6,06104;6,11188;7,08024;12,9411;8,65974;3,0268;7,82858;27,0261;2,92855;4,94518;5,21604;8,093;8,7;8,9;3,6;4,3;1,8;5,5;11,0;5,7;3,3;16,1;0,7;2,7;3,7;12,7;1,9;8,0;2,7;5,4;8,0;24,7;9,7;3,2;3,4;8,63;4,5;9,6769;5,57255;3,46975;4,95898;5,17408;4,45868;4,58301;51,658;8,24065;8,05642;16,0932;7,95282;9,33428;4,22722;5,03714;6,97614;12,2635;3,54264;4,13311;4,871242;1,51;1,61;9,0;5,6;5,06;13,62;22,3326;;13,48;48,713516;9,54;12,82943;7,26758;1,79701;5,66324;4,3;7,0;3,8;1,9;4,25921;5,37037;6,44448;14,6093;10,937;8,02464;12,1922;5,69059;9,84197;16,6976;6,51575;3,18181;10,3522;46,4136;6,08706;12,7458;;18,605;7,78549;7,55476;6,3;;8,3;5,0;0,7;0,09;20,3435;11,6802;7,31606;4,2866;5,10451;5,43752;8,70332;10,7906;;5,25853;9,81175;12,2495;13,7999;7,68677;3,72574;6,31438;5,43274;3,55227;4,90281;0,28159;3,17498;2,38415;5,67353;2,87682;5,54876;5,62932;6,66449;3,62753;3,69146;6,60743;21,493;9,67525;3,92108;12,0329;19,8487
05.05.2018 11:00;4,05503;3,74911;7,95849;3,77647;5,84222;5,11139;7,55559;13,1962;7,53687;2,42187;7,49079;28,9617;2,76125;3,78735;4,52666;7,08416;11,5;7,3;3,4;4,3;1,6;5,4;12,0;5,8;4,2;18,5;0,6;2,7;3,6;39,4;2,0;7,0;3,4;5,1;8,3;25,8;8,7;2,7;2,7;7,62;3,6;9,18359;5,21794;2,13188;4,09752;4,43531;2,72726;4,2124;50,7402;7,31704;7,02926;16,09;7,30855;7,88169;4,14054;6,30703;5,81726;15,4966;3,33355;3,39274;3,959113;1,71;1,59;6,8;5,0;4,76;12,92;9,4032;;12,08;46,915207;8,64;13,3994;5,79322;1,53805;4,21384;4,3;5,8;2,2;1,8;3,75375;4,70595;5,80179;3,89092;10,1315;6,63627;12,3125;7,11224;7,48146;13,4115;22,5478;3,17959;8,07666;35,8757;5,81552;5,03188;;19,795;7,1546;13,5563;6,5;;7,0;6,0;0,8;0,0;16,9937;9,31356;8,36022;5,95004;5,01528;5,10557;7,44246;6,37937;;2,77293;10,5906;9,23077;13,5603;5,30261;3,07513;5,45079;3,8957;3,19202;5,2904;0,0;3,77195;1,92432;5,27107;3,67199;4,9491;5,20155;6,35051;3,55971;3,42476;5,73175;16,824;11,7381;4,87918;15,7602;7,66393
05.05.2018 12:00;4,29934;3,38636;8,23346;3,1394;5,05724;4,94776;7,059;11,4754;7,32646;2,05593;6,46044;27,8706;2,20092;3,34334;4,24889;6,95699;8,4;7,8;3,5;3,0;1,6;5,1;12,0;5,3;5,9;18,1;0,5;2,6;3,2;19,6;1,3;8,6;6,0;5,1;7,4;30,4;9,9;2,9;2,4;7,95;5,2;10,8428;5,70331;3,48568;3,71482;3,96528;2,9551;4,9336;48,5908;6,90543;6,16939;14,7729;6,07288;7,59117;3,93328;7,20885;4,49054;12,5655;3,07645;2,79524;3,654096;1,71;1,56;5,3;3,3;4,16;11,92;15,76995;;12,48;35,016897;9,44;13,20941;4,14624;1,44023;3,76611;5,6;6,0;2,2;2,1;2,46971;4,80633;5,46673;2,41337;9,17232;6,09168;10,6525;5,55484;7,36566;14,4241;11,739;2,87548;6,90689;20,425;6,35807;3,98329;;18,3211;7,20824;9,11651;6,5;;7,1;5,0;0,5;0,12;19,0368;8,59391;17,25;16,0411;5,57614;6,45884;8,74793;6,47424;;2,15525;6,94693;12,9977;8,44254;9,80537;3,18507;4,09168;4,22074;2,9484;4,47302;0,16836;4,37636;1,88603;4,6791;3,65357;4,03625;4,3665;6,75999;3,01559;3,05324;5,95106;17,204;9,22699;5,36393;13,8455;3,74433
05.05.2018 13:00;4,42681;2,91208;6,72788;3,26633;4,89153;5,32013;7,40634;10,2045;8,12931;1,81534;6,06423;25,8763;1,70115;2,65396;5,39715;5,52849;9,0;6,3;3,4;3,8;1,3;5,4;14,0;5,4;6,1;22,4;0,6;2,8;3,1;5,7;1,5;8,2;5,0;5,6;9,2;29,5;10,7;3,3;2,2;8,2;5,3;8,15077;5,60545;2,49412;4,91437;3,33378;2,47923;3,19973;51,8657;5,73327;7,02926;17,9627;5,33981;6,81256;3,55896;4,05405;4,01892;19,2708;3,05582;2,77984;3,182754;1,31;1,65;7,8;3,9;4,16;11,32;11,754;;12,68;34,818587;9,14;14,72933;5,1134;1,37087;4,1193;8,5;6,9;2,3;1,3;3,7528;4,92796;5,36528;2,57536;8,79257;4,83513;4,92338;4,13527;4,89397;9,15499;25,2791;2,79732;7,68289;15,6196;5,04926;3,63789;;19,3218;8,17327;12,9526;5,6;;5,7;5,0;0,9;0,03;20,6136;8,37509;20,3471;18,3706;4,88463;6,56241;8,02721;7,02926;14,9277;2,39425;6,14496;12,4765;8,48523;12,2724;2,94236;3,4416;3,24403;2,96549;5,20914;0,18483;4,49851;2,04102;4,95055;3,99424;4,75421;4,84996;7,27234;2,86428;3,12275;6,36364;13,8135;10,7205;4,29866;16,9923;2,1271
05.05.2018 14:00;3,81656;2,77452;6,9084;3,09638;5,41999;5,2684;7,22099;9,04534;7,28537;2,07771;5,96544;31,2092;2,14263;3,28545;4,34343;5,21915;8,9;5,9;3,4;3,4;0,9;4,9;11,0;5,0;5,2;21,5;0,9;2,8;3,0;5,8;1,1;9,6;5,2;6,8;8,1;29,9;11,0;3,3;2,2;7,91;7,7;7,35642;4,9848;2,28684;3,94138;3,23447;2,35335;3,23176;54,0846;6,33183;5,83372;18,4774;5,66999;6,31969;3,49389;2,87233;4,21702;20,6578;3,01456;2,8372;3,644531;1,51;1,54;5,1;5,4;4,26;11,82;8,32575;;13,08;32,220277;9,44;15,2993;4,08304;1,32468;3,84046;5,5;6,9;2,6;1,4;2,01684;5,22325;5,4816;1,61511;8,54475;5,04402;2,93326;3,94959;5,05026;12,3666;46,1972;3,04892;8,90931;15,1265;5,49465;3,3096;;17,3976;7,5959;8,69033;6,7;;5,9;5,0;0,4;0,01;16,9899;7,16256;17,4497;13,8997;4,33227;7,20134;7,14451;6,68561;7,99791;2,72779;6,8269;12,649;7,62091;8,09573;2,81861;2,9004;3,29023;3,27622;4,90003;0,1041;3,83144;2,15741;5,05463;4,10302;4,90051;4,97914;6,18979;3,38862;2,97881;6,90592;15,95;9,8075;4,3841;14,7941;4,17613
05.05.2018 15:00;3,75761;2,76443;6,77724;3,10169;5,88843;5,0087;7,04997;9,80694;7,58885;2,25935;6,05573;29,1761;2,26577;2,9944;4,52188;6,50266;9,3;6,5;3,6;2,9;1,2;4,8;11,0;4,2;4,6;21,6;1,7;3,4;3,0;4,9;1,6;10,1;6,5;7,2;9,1;35,0;10,4;3,2;2,1;8,07;5,9;8,02828;5,01225;2,95351;3,1787;2,95298;2,62741;3,50268;56,8071;5,06673;6,74086;18,0387;5,03156;7,26241;3,9395;2,00609;4,11452;23,626;3,03766;2,9705;3,646922;1,31;1,69;4,5;4,1;3,86;11,02;8,8155;;11,38;48,121967;11,34;20,999;3,64328;1,46556;3,57969;5,4;5,5;2,0;1,4;1,99899;3,85139;6,08335;1,62414;8,52959;7,41085;6,14721;7,89403;5,65139;9,39989;8,82476;4,38293;9,14632;16,5219;5,28332;4,87895;;16,0799;6,36059;19,6773;7,6;;4,8;5,0;0,4;0,31;21,5792;7,87372;12,1327;8,72403;4,26004;4,27651;10,8724;8,40377;7,58728;1,73036;6,24268;14,3035;7,99844;5,32811;2,97953;3,10381;3,27696;3,09801;3,76452;0,42383;3,45275;2,1524;4,66136;3,8147;5,2869;4,71804;6,36289;2,73868;3,55968;5,81951;16,8727;8,07448;4,47692;12,7812;3,6976
05.05.2018 16:00;4,35033;2,74638;7,46013;2,7416;4,99882;5,52185;6,0023;10,0876;8,11805;2,4548;6,22303;28,2475;2,32786;4,06034;4,09221;6,36749;8,7;7,2;3,4;2,7;2,5;4,6;12,0;4,0;4,0;22,7;1,7;3,3;3,2;5,2;1,8;10,3;7,1;6,1;10,0;31,4;10,2;3,5;2,3;7,46;5,5;7,14026;4,93493;4,09062;3,23234;3,02308;3,33166;3,88359;48,713;6,48001;6,70103;14,4643;5,01652;7,53753;4,07839;2,08204;4,37954;16,2545;2,9995;3,72362;4,161572;1,21;1,63;3,8;4,2;3,66;10,82;7,34625;;11,88;42,323657;9,64;25,93874;3,11111;1,61973;3,90898;5,1;5,7;2,0;1,3;2,13126;4,03303;6,31332;1,92425;9,39981;7,58622;16,0952;10,6807;7,95019;11,7013;19,3424;3,79186;9,69131;19,8883;5,71475;4,32547;;16,224;6,18001;17,9269;7,8;;5,3;6,0;0,6;0,13;20,9544;9,41819;10,8001;8,15946;3,97855;3,88242;15,7719;12,4583;6,79443;2,17278;7,75475;8,82796;6,27136;4,28819;3,07035;4,20481;3,0831;3,59271;3,85002;0,13809;3,6413;2,29955;4,49813;4,36928;4,54206;5,46286;5,96083;3,10617;3,34763;6,73267;15,8211;8,1807;4,27587;16,8915;2,5966
05.05.2018 17:00;4,30784;2,78196;7,49964;3,09372;4,92287;5,872;7,28026;9,61858;10,8769;2,95192;6,3096;36,9401;2,5504;4,26217;4,80018;7,3644;10,6;7,7;3,2;3,4;3,4;4,7;14,0;4,4;5,0;26,5;1,3;3,2;3,1;6,8;1,8;8,4;6,7;6,7;10,9;37,1;11,5;3,6;2,7;8,46;4,7;7,21143;4,70458;3,00821;3,97324;3,40655;3,46709;3,59833;60,3401;6,02485;7,88275;14,0596;5,81942;8,36819;4,20137;2,26527;4,38804;26,0371;3,39013;4,03644;5,059885;1,31;1,5;4,0;5,2;4,06;12,62;20,27565;;12,58;51,025347;10,94;30,68849;3,46908;2,0901;4,10124;5,0;7,0;2,3;1,7;2,35731;4,12385;6,40626;2,00654;9,5122;8,90208;17,2973;10,5226;8,17124;21,6033;9,11278;4,09663;9,63469;12,5434;5,84368;;;17,2396;7,07386;11,9764;8,4;;15,8;6,0;1,1;0,09;27,8612;10,021;11,4136;10,2998;4,39919;4,50542;15,6917;9,84227;8,02774;0,86518;9,65029;8,85735;6,2549;4,8193;2,99865;5,17355;3,24668;3,82015;4,55853;0,0;3,46816;2,41348;4,76951;4,84981;5,02206;5,2268;5,96536;3,57639;3,73981;7,79967;16,585;8,09466;4,39147;15,6757;2,8765
05.05.2018 18:00;4,21862;3,06451;9,4346;3,66414;5,77477;6,92145;10,6966;12,9177;12,5545;2,88075;8,26621;45,3971;3,47612;4,75398;5,70413;8,86683;11,9;11,7;3,2;7,4;2,7;5,0;15,0;4,8;5,8;23,4;1,6;4,6;3,7;7,5;5,4;6,9;6,1;7,5;12,2;38,4;10,7;3,4;3,7;9,98;6,1;8,55036;4,84873;6,11787;5,53577;3,95625;4,5325;4,5991;60,8085;7,62562;7,78854;18,2654;7,39136;10,311;5,44257;3,8108;6,70209;21,3735;3,60649;4,58933;5,412461;1,61;1,72;5,6;5,5;4,86;14,52;22,23465;;15,28;36,827038;12,94;49,30751;4,72568;2,88359;4,52985;5,1;9,9;3,1;2,2;3,22123;4,03675;6,88745;2,29228;10,5443;11,4189;9,18176;10,3949;8,679;16,6654;13,8958;5,63465;10,7606;14,2873;6,67265;3,64059;;21,7816;6,99526;17,344;13,0;;7,1;8,0;1,7;0,21;24,7898;13,6028;19,8773;16,3726;4,67696;4,92552;16,892;9,36721;3,86779;2,14569;8,03359;17,4919;6,56294;5,58994;3,19782;5,20223;4,14107;4,16081;5,8008;0,84447;3,80382;2,56009;5,16151;5,5357;5,98625;5,11338;6,50033;4,0233;4,14122;8,01991;19,114;7,2247;5,45025;11,4736;2,83826
05.05.2018 19:00;4,36202;4,27226;13,02;5,05777;10,8416;7,8044;16,7148;18,3402;16,6081;3,29236;9,0974;54,8781;7,17;8,54876;7,98738;12,3327;12,6;11,0;3,4;7,1;2,5;5,9;18,0;5,2;6,5;28,2;1,7;5,2;3,6;9,8;8,8;11,6;8,9;10,6;16,8;46,8;13,9;7,0;7,9;13,74;9,9;10,5473;5,29847;10,8851;8,70438;6,23843;5,09601;6,74601;72,6969;11,0486;10,4815;19,8189;12,4038;16,294;6,5822;5,40308;10,7608;28,4538;4,58912;6,33616;7,23672;1,81;2,37;9,5;6,8;6,96;17,32;15,0843;;20,88;46,928728;21,24;33,91832;10,3061;4,68515;6,69572;5,1;11,2;7,3;4,0;3,4583;6,08259;8,17221;1,94599;11,9214;13,3623;17,4502;19,7142;10,1671;17,2705;24,2463;6,56432;16,8918;;7,76891;4,63754;;29,0005;12,2166;25,9212;17,0;;7,8;11,0;3,0;0,22;31,0805;20,0324;21,3273;15,671;7,3288;7,44512;16,5494;7,48176;5,75934;4,08371;9,56478;38,0844;6,94959;10,8012;3,89836;8,143;6,26924;6,01906;6,61764;2,28484;4,53038;2,08649;9,54213;10,2328;7,63369;6,82338;7,83233;6,07951;6,04494;10,0809;25,365;9,53769;6,77292;13,3723;3,18773
05.05.2018 20:00;7,85142;4,60526;17,9355;26,4042;19,3425;10,6183;29,1569;24,1606;30,0195;4,04547;11,8321;55,0932;11,8273;18,48;14,954;21,4481;16,0;12,4;4,3;9,3;5,4;9,3;27,0;7,6;14,7;30,9;2,2;17,6;5,4;10,6;11,9;11,6;14,2;16,1;27,4;51,5;29,3;16,6;23,2;28,94;17,5;12,8727;6,1782;16,7337;13,5747;13,0149;26,1785;11,8638;85,1615;14,5035;12,3053;24,6744;21,8269;23,5856;8,23222;7,42236;17,0003;29,5014;6,1284;19,2156;7,962331;2,71;2,47;16,0;11,5;13,86;31,62;37,4169;;35,88;45,330418;49,64;23,65886;13,5851;7,76042;10,8108;5,5;19,5;7,3;3,7;5,13318;6,26636;12,3919;2,86269;13,3033;21,4355;14,2513;15,7379;16,0633;15,7746;10,7184;8,17684;26,3671;16,2818;13,5584;6,91656;;37,0714;20,8089;11,2984;25,0;;8,8;16,0;4,9;0,38;41,0972;24,5963;13,8314;8,18442;10,4406;11,592;16,8054;7,9672;6,76161;6,72599;14,2736;24,5023;9,01083;22,9573;5,13584;17,9691;8,01818;4,92567;9,01933;3,65829;4,47727;2,16666;16,2665;16,8166;8,3846;23,9744;8,03721;27,2324;14,4394;15,6101;43,2207;16,9387;6,62116;25,7015;3,81125
